businessName,category,phone,rating,city,website,search_query,leadScore,opportunity,created_at
Studio 3 Hair Salon Madrid,Hairdresser,+34910934630,4.8,28003 Madrid,,Salons in Spain,49,🥈 SILVER,2026-05-16 04:15:57
Espacio Isaac Salido - Peluquería & Concept Store,Hairdresser,+34915762175,4.6,28001 Madrid,https://www.isaacsalido.es/,Salons in Spain,86,💎 DIAMOND,2026-05-16 04:15:57
Le Comptoir Esthétique,Beauty salon,+34919308809,4.6,28004 Madrid,http://www.lecomptoiresthetique.net/,Salons in Spain,86,💎 DIAMOND,2026-05-16 04:15:57
Shimada Kemp Peluquero y Estilista MULTItextural International stylist,Beauty salon,+34692862772,4.8,28010 Madrid,https://shimadakemp.jimdoweb.com/,Salons in Spain,84,💎 DIAMOND,2026-05-16 04:15:57
Suite 20 Beauty Salon,Hairdresser,+34910258050,4.8,28015 Madrid,https://www.instagram.com/karenguerreiro_hairstyle/,Salons in Spain,88,💎 DIAMOND,2026-05-16 04:15:57
Wilmar Rodríguez Peluqueros,Hair salon,+34625153568,4.9,28020 Madrid,http://wilmarpeluqueros.com/,Salons in Spain,67,🥇 GOLD,2026-05-16 04:15:57
Banús Salon,Beauty salon,+34610057827,4.9,Málaga,http://www.salonbanus.com/,Salons in Spain,89,💎 DIAMOND,2026-05-16 04:15:57
Carlos y Xavier Peluquería / Uñas,Hairdresser,+34625998149,4.6,28008 Madrid,https://www.instagram.com/carlosyxaviersalon?igsh=ZWQ3d3g5OHplNnBl&utm_source=qr,Salons in Spain,80,💎 DIAMOND,2026-05-16 04:15:57
Peluquería & Uñas Bazán,Nail salon,N/A,4.6,28039 Madrid,,Salons in Spain,48,🥈 SILVER,2026-05-16 04:15:57
SimplyBeauty,Beauty salon,+34621084575,4.9,08012 Barcelona,http://www.simplybeauty.es/,Salons in Spain,74,🥇 GOLD,2026-05-16 04:15:57
La Perla Beauty Salon,Beauty salon,+34634072670,4.9,Alicante,https://n1401540.alteg.io/,Salons in Spain,89,💎 DIAMOND,2026-05-16 04:15:57
The Studio Hair & Beauty,Beauty salon,+34654897410,4.8,Málaga,http://www.thestudiospain.com/,Salons in Spain,83,💎 DIAMOND,2026-05-16 04:15:57
Bloss Barcelona (Hair by Sergio),Hair salon,+34931288322,4.7,08009 Barcelona,https://blossbarcelona.com/,Salons in Spain,87,💎 DIAMOND,2026-05-16 04:15:57
Peluqueria De Caballeros Casa Blanca,Hair salon,+34633305314,4.8,28029 Madrid,,Salons in Spain,68,🥇 GOLD,2026-05-16 04:15:57
The Salon Moraira,Beauty salon,+34966492347,4.4,Alicante,http://www.justinsmoraira.com/,Salons in Spain,70,🥇 GOLD,2026-05-16 04:15:57
Peluqueria SAID Valdezarza,Hairdresser,+34627867054,4.8,28039 Madrid,,Salons in Spain,56,🥈 SILVER,2026-05-16 04:15:57
Peluquería Reflejos,Hair salon,+34915493045,4.8,28015 Madrid,,Salons in Spain,60,🥇 GOLD,2026-05-16 04:15:57
Salón Vila,Hairdresser,+34971227307,4.9,Illes Balears,https://booksy.com/es-es/instant-experiences/widget/109772,Salons in Spain,89,💎 DIAMOND,2026-05-16 04:15:57
Cromantic Peluqueros,Hairdresser,+34674109909,4.7,Madrid,https://cromanticpeluqueros.es/,Salons in Spain,76,🥇 GOLD,2026-05-16 04:15:57
Peluquería Malasaña ≫ Corto y Cambio,Hairdresser,+34915945190,4.7,28004 Madrid,,Salons in Spain,67,🥇 GOLD,2026-05-16 04:15:57
Malavana,Hair salon,+34910822217,4.7,28004 Madrid,,Salons in Spain,67,🥇 GOLD,2026-05-16 04:15:57
José Carreras Peluqueros,Hairdresser,+34649885285,4.6,28035 Madrid,http://www.carrerass.es/,Salons in Spain,64,🥇 GOLD,2026-05-16 04:15:57
Sail's Style,Beauty salon,+34917405480,4.8,28034 Madrid,,Salons in Spain,45,🥈 SILVER,2026-05-16 04:15:57
THE Salon,Hair salon,+34966709620,4.6,Alicante,http://www.the-salon.biz/index.htm,Salons in Spain,63,🥇 GOLD,2026-05-16 04:15:57
Salvatore Benvenuto peluqueria,Beauty salon,+34913769751,4.8,28029 Madrid,,Salons in Spain,68,🥇 GOLD,2026-05-16 04:15:57
Sisters Peluqueros,Beauty salon,+34913163239,4.6,28035 Madrid,http://www.sisterspeluqueros.com/,Salons in Spain,64,🥇 GOLD,2026-05-16 04:15:57
Oh Lola Beauty,Hair salon,+34912685463,4.8,28006 Madrid,http://www.ohlolabeauty.com/,Salons in Spain,88,💎 DIAMOND,2026-05-16 04:15:57
MURO MADRID,Hairdresser,+34918058205,4.7,28001 Madrid,https://muro.world/cita-online,Salons in Spain,87,💎 DIAMOND,2026-05-16 04:15:57
"Peluquería Carolina Moraga | Balayage, Color y Keratina en Madrid",Hairdresser,+34621308479,4.8,28020 Madrid,http://carolinamoraga.es/,Salons in Spain,88,💎 DIAMOND,2026-05-16 04:15:57
The Barber Company,Hairdresser,+34918317209,3.2,28029 Madrid,,Salons in Spain,43,🥈 SILVER,2026-05-16 04:15:57
SOLO PELO NATURAL,Hair extension technician,+34638803940,3,28020 Madrid,http://www.chantalhair.es/,Salons in Spain,55,🥈 SILVER,2026-05-16 04:15:57
Salón de belleza El Grial,Beauty salon,+34646205752,4.9,Alicante,https://el-grial-salon.es/?utm_source=google&utm_medium=maps,Salons in Spain,89,💎 DIAMOND,2026-05-16 04:15:57
LALO Peluquería,Hair salon,+34643742702,5,28020 Madrid,https://www.instagram.com/lalo21172/,Salons in Spain,71,🥇 GOLD,2026-05-16 04:15:57
Peluquería Ismael,Hair salon,+34653224700,4.8,28015 Madrid,,Salons in Spain,55,🥈 SILVER,2026-05-16 04:15:57
Salón 44,Hairdresser,+34915227179,4.6,28004 Madrid,https://salon44.es/,Salons in Spain,86,💎 DIAMOND,2026-05-16 04:15:57
Issus Cos,Beauty supply store,+34966400834,4.5,Alicante,https://artegoprofesional.com/,Salons in Spain,56,🥈 SILVER,2026-05-16 04:15:57
HAIRONE Salon de Peluquería Y Barbería一亚洲美发沙龙,Hairdresser,+34919281362,4.9,28013 Madrid,https://booksy.com/es-es/67662_hairone-salon-de-peluqueria-y-barberia_peluqueria_53009_madrid,Salons in Spain,89,💎 DIAMOND,2026-05-16 04:15:57
Mezcla Peluqueros,Beauty salon,+34913511545,4.9,Madrid,,Salons in Spain,50,🥈 SILVER,2026-05-16 04:15:57
Salón TONI&GUY - Salamanca,Hairdresser,+34912368977,4.7,28001 Madrid,https://toniandguy.es/?utm_source=google&utm_medium=maps&utm_campaign=mybusiness&utm_id=GMB+HERMOSILLA&utm_content=madrid-hermosilla,Salons in Spain,87,💎 DIAMOND,2026-05-16 04:15:57
Oculto Hair Club Madrid,Beauty salon,+34657958064,4.6,28010 Madrid,https://www.oculto.hair/,Salons in Spain,86,💎 DIAMOND,2026-05-16 04:15:57
Wapa'm Beauty Coworking & Salon,Beauty salon,+34934592559,4.7,08037 Barcelona,http://www.wapam.es/,Salons in Spain,87,💎 DIAMOND,2026-05-16 04:15:57
KLOSS Peluquería Saludable - Secretos del Agua,Beauty salon,+34917709221,4.6,28049 Madrid,http://www.klossmadrid.com/,Salons in Spain,83,💎 DIAMOND,2026-05-16 04:15:57
MalaBernad,Nail salon,+34747860034,4.9,28015 Madrid,https://instagram.com/malabernad?igshid=lo2zvo1lnf2t,Salons in Spain,85,💎 DIAMOND,2026-05-16 04:15:57
"La Belleza del Alma , Chamberí",Beauty salon,+34692976549,4.7,28015 Madrid,https://labellezadelalma.es/,Salons in Spain,87,💎 DIAMOND,2026-05-16 04:15:57
ONDA Hair & Beauty Salon | Peluquería Barcelona,Hairdresser,+34931873236,4.7,08003 Barcelona,https://www.ondasalon.com/,Salons in Spain,87,💎 DIAMOND,2026-05-16 04:15:57
Salón TONI&GUY - Valencia Centro,Hair salon,+34963529020,4.6,Valencia,https://toniandguy.es/?utm_source=google&utm_medium=maps&utm_campaign=mybusiness&utm_id=GMB+CENTRO&utm_content=valencia-centro,Salons in Spain,86,💎 DIAMOND,2026-05-16 04:15:57
Peluquería Berto Navarro,Hair salon,+34963331090,4.9,Valencia,,Salons in Spain,53,🥈 SILVER,2026-05-16 04:15:57
Drei - Men's Hair Club,Hair salon,+34910562005,4.8,28004 Madrid,http://www.dreiclub.com/,Salons in Spain,88,💎 DIAMOND,2026-05-16 04:15:57
La Salvaje,Hairdresser,+34617387584,5,28005 Madrid,http://espaciolasalvaje.com/,Salons in Spain,90,💎 DIAMOND,2026-05-16 04:15:57
Extensions & Head Spa Ibiza,Beauty salon,+34633292298,4.9,Balearic Islands,https://extensionsheadspa.com/?utm_source=GMB&utm_medium=organic&utm_campaign=MyBusiness,Salons in Spain,78,🥇 GOLD,2026-05-16 04:15:57
Dtox Hair Salon,Hair salon,+34931246091,4.8,08001 Barcelona,http://www.dtoxbcn.com/,Salons in Spain,88,💎 DIAMOND,2026-05-16 04:15:57
Alonzo Peluquería y Estetica,Hairdresser,+34917587416,4.6,28013 Madrid,https://alonzopeluqueria.com/,Salons in Spain,86,💎 DIAMOND,2026-05-16 04:15:57
Damas Beauty Aravaca,Beauty salon,+34913575359,4.8,28023 Madrid,http://www.damasbeauty.es/,Salons in Spain,81,💎 DIAMOND,2026-05-16 04:15:57
Hair & Body Estética y Peluquería,Beauty salon,+34627753461,4.9,28020 Madrid,https://www.instagram.com/hairandbodyesteticaypeluqueria/?next=%2Fjjum200%2F&hl=fr,Salons in Spain,89,💎 DIAMOND,2026-05-16 04:15:57
AVA MADRID SALON,Hairdresser,+34910014878,4.9,28004 Madrid,https://link.booksy.com/AvaMadrid,Salons in Spain,78,🥇 GOLD,2026-05-16 04:15:57
Adrián Blonde Studio,Hairdresser,+34625226520,5,28046 Madrid,,Salons in Spain,61,🥇 GOLD,2026-05-16 04:15:57
Dm Estilistas,Beauty salon,+34976755839,4.7,50012 Zaragoza,http://dmestilistas.es/,Salons in Spain,75,🥇 GOLD,2026-05-16 04:15:57
BE&SA PELUQUERÍA Y ESTÉTICA,Beauty salon,+34969031908,4.9,Cuenca,http://www.beysapeluqueria.com/,Salons in Spain,67,🥇 GOLD,2026-05-16 04:15:57
DIM SALÓN ▷ 【Peluquería Malasaña】,Hairdresser,+34622002332,4.8,28004 Madrid,https://dimsalon.es/,Salons in Spain,88,💎 DIAMOND,2026-05-16 04:15:57
Madrid Shaving Club Estrecho,Hair salon,+34914216079,4.7,28020 Madrid,http://www.madridshavingclub.com/,Salons in Spain,87,💎 DIAMOND,2026-05-16 04:15:57
M Madrid Estilistas 66,Hair salon,+34667014290,4.9,28010 Madrid,,Salons in Spain,69,🥇 GOLD,2026-05-16 04:15:57
ILEA Hair Club,Hairdresser,+34747431665,4.9,28004 Madrid,http://www.ileahc.com/,Salons in Spain,89,💎 DIAMOND,2026-05-16 04:15:57
Splash Madrid,Hair salon,+34910621134,4.5,28004 Madrid,http://www.splashsalons.info/,Salons in Spain,86,💎 DIAMOND,2026-05-16 04:15:57
MAISON DE BEAUTÉ,Beauty salon,+34670409914,4.5,28016 Madrid,https://bit.ly/reserva_maisondebeaute,Salons in Spain,86,💎 DIAMOND,2026-05-16 04:15:57
Valery Salon,Beauty salon,+34651454464,4.8,Alicante,https://instagram.com/valery_salon_alicante?igshid=16hpid29l837e,Salons in Spain,88,💎 DIAMOND,2026-05-16 04:15:57
Pablo Bogado - Hair Studio,Hairdresser,+34636387558,4.9,28004 Madrid,https://pablobogado.com/,Salons in Spain,89,💎 DIAMOND,2026-05-16 04:15:57
CARRION Hair Spa,Beauty salon,+34681084803,5,Balearic Islands,http://www.carrionheadspa.com/,Salons in Spain,90,💎 DIAMOND,2026-05-16 04:15:57
Peluquería Andry,Hairdresser,+34603252462,5,28039 Madrid,,Salons in Spain,57,🥈 SILVER,2026-05-16 04:15:57
